name	family	genus	species
A38R_scaffold1603|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1602|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1601|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1600|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1599|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1597|length_617	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A54R_scaffold410|length_622	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold109|length_1801	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A37R_scaffold108|length_1801	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A37R_scaffold107|length_1801	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A28R_scaffold460|length_959	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold103|length_899	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold102|length_899	Virgaviridae	Tobamovirus	Tomato mosaic virus
A49R_scaffold22|length_1513	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold267|length_1362	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold129|length_1209	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A39R_scaffold98|length_1217	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A50R_scaffold432|length_618	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A1R_scaffold464|length_885	Virgaviridae	Tobamovirus	Tomato mosaic virus
A1R_scaffold463|length_885	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold442|length_885	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold441|length_885	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold440|length_885	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold40|length_3924	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold61|length_3379	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold174|length_1181	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold170|length_1181	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A9R_scaffold378|length_924	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold466|length_867	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold157|length_868	Virgaviridae	Tobamovirus	Tomato mosaic virus
A1R_scaffold846|length_655	Virgaviridae	Tobamovirus	Tomato mosaic virus
A19R_scaffold256|length_1207	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold98|length_1752	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold188|length_1037	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A35R_scaffold12|length_3149	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold1766|length_586	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A58R_scaffold226|length_905	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold1773|length_585	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1774|length_585	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold138|length_1779	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A32R_scaffold961|length_615	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A8R_scaffold450|length_938	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold27|length_2353	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A46R_scaffold544|length_650	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A5R_scaffold697|length_900	Virgaviridae	Tobamovirus	Tomato mosaic virus
A7R_scaffold1137|length_607	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A35R_scaffold72|length_2401	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold112|length_880	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold316|length_637	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold167|length_1185	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold900|length_870	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold223|length_1446	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold44|length_1450	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A45R_scaffold122|length_849	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold51|length_3676	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A38R_scaffold254|length_1551	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold630|length_844	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold634|length_844	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold633|length_844	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold632|length_844	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold631|length_844	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A47R_scaffold700|length_874	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A25R_scaffold21|length_2252	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold145|length_1413	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A37R_scaffold2317|length_561	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold447|length_869	Bromoviridae	Cucumovirus	Cucumber mosaic virus
A37R_scaffold82|length_1953	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold1249|length_558	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold282|length_573	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold284|length_572	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold118|length_1741	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A59R_scaffold110|length_862	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A36R_scaffold251|length_1112	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold237|length_1409	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold450|length_877	Virgaviridae	Tobamovirus	Tomato mosaic virus
A1R_scaffold283|length_1091	Virgaviridae	Tobamovirus	Tomato mosaic virus
A53R_scaffold283|length_873	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold113|length_873	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold575|length_663	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold258|length_618	Virgaviridae	Tobamovirus	Tomato mosaic virus
A35R_scaffold455|length_1415	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold2340|length_559	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A8R_scaffold33|length_2017	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold223|length_1436	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold178|length_1053	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold579|length_624	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold522|length_661	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold32|length_1707	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A37R_scaffold1959|length_616	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold337|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold336|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold335|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold334|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold333|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold332|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold331|length_1105	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A50R_scaffold13|length_1684	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold250|length_1233	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A50R_scaffold52|length_1108	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold310|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold309|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold308|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold307|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold306|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold305|length_547	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1231|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1224|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold1223|length_546	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A47R_scaffold2115|length_580	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A42R_scaffold633|length_840	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold736|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold735|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold733|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold732|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold731|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold729|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold636|length_577	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2089|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2088|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2086|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2085|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2083|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2082|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold2081|length_543	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold1426|length_657	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold745|length_542	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A58R_scaffold645|length_558	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A58R_scaffold158|length_1083	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A58R_scaffold157|length_1083	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A56R_scaffold744|length_542	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A39R_scaffold175|length_843	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold191|length_800	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold637|length_577	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold452|length_524	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1082|length_577	Virgaviridae	Tobamovirus	Tomato mosaic virus
A56R_scaffold122|length_1411	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A59R_scaffold114|length_849	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold2493|length_540	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1227|length_563	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold60|length_3379	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold179|length_1052	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold283|length_872	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A4R_scaffold912|length_573	Virgaviridae	Tobamovirus	Tomato mosaic virus
A46R_scaffold273|length_878	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A1R_scaffold251|length_1140	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold589|length_645	Virgaviridae	Tobamovirus	Tomato mosaic virus
A18R_scaffold1077|length_668	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A40R_scaffold717|length_533	Virgaviridae	Tobamovirus	Tomato mosaic virus
A58R_scaffold163|length_1066	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A47R_scaffold2237|length_565	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A1R_scaffold413|length_933	Virgaviridae	Tobamovirus	Tomato mosaic virus
A57R_scaffold91|length_922	Bromoviridae	Ilarvirus	Prunus necrotic ringspot virus
A57R_scaffold86|length_928	Bromoviridae	Ilarvirus	Prunus necrotic ringspot virus
A35R_scaffold1|length_4792	Virgaviridae	Tobamovirus	Tomato mosaic virus
A59R_scaffold5|length_1856	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold131|length_1803	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold30|length_1611	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold532|length_816	Virgaviridae	Tobamovirus	Tomato mosaic virus
A1R_scaffold1012|length_590	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold163|length_864	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A37R_scaffold423|length_1156	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A4R_scaffold878|length_584	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold148|length_1562	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold768|length_538	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold767|length_538	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold42|length_1603	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A37R_scaffold2456|length_544	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold82|length_1382	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A37R_scaffold1051|length_810	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1050|length_810	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold134|length_1179	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A40R_scaffold699|length_543	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold24|length_2610	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold148|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold153|length_1828	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold736|length_550	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A25R_scaffold1897|length_550	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A39R_scaffold470|length_519	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold469|length_519	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold563|length_1038	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold562|length_1038	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold561|length_1038	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold560|length_1038	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A35R_scaffold329|length_1568	Virgaviridae	Tobamovirus	Tomato mosaic virus
A26R_scaffold2373|length_533	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A58R_scaffold728|length_519	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A56R_scaffold26|length_2353	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold216|length_1306	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold217|length_1306	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A45R_scaffold1|length_2833	Virgaviridae	Tobamovirus	Tomato mosaic virus
A41R_scaffold7|length_2351	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A1R_scaffold330|length_1028	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold257|length_618	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold87|length_2147	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold76|length_1053	Virgaviridae	Tobamovirus	Tomato mosaic virus
A6R_scaffold533|length_808	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold198|length_784	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold418|length_546	Virgaviridae	Tobamovirus	Tomato mosaic virus
A53R_scaffold1415|length_533	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A38R_scaffold1059|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold384|length_780	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold44|length_1592	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold180|length_1052	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A32R_scaffold49|length_1822	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold403|length_1022	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold23|length_4023	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold737|length_767	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A1R_scaffold5|length_2830	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold479|length_1119	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A29R_scaffold352|length_1044	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A39R_scaffold487|length_508	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold111|length_1776	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A54R_scaffold689|length_530	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A58R_scaffold736|length_517	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A56R_scaffold94|length_1622	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A39R_scaffold498|length_504	Virgaviridae	Tobamovirus	Tomato mosaic virus
A33R_scaffold128|length_1535	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold66|length_3165	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1469|length_504	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1467|length_504	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold877|length_504	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A38R_scaffold1065|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1064|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1063|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1062|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold1061|length_769	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold18|length_1618	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold17|length_1618	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A39R_scaffold512|length_501	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold511|length_501	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold510|length_501	Virgaviridae	Tobamovirus	Tomato mosaic virus
A3R_scaffold86|length_1032	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A22R_scaffold1888|length_533	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold54|length_2336	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold34|length_1330	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold233|length_1153	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold234|length_1153	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold232|length_1153	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold440|length_531	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold431|length_539	Virgaviridae	Tobamovirus	Tomato mosaic virus
A58R_scaffold760|length_510	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A28R_scaffold192|length_1391	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A8R_scaffold4|length_3022	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1396|length_520	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold375|length_773	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A39R_scaffold93|length_1260	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold92|length_1260	Virgaviridae	Tobamovirus	Tomato mosaic virus
A50R_scaffold30|length_1268	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold159|length_1492	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold420|length_746	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold338|length_1257	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A17R_scaffold156|length_1252	Virgaviridae	Tobamovirus	Tomato mosaic virus
A37R_scaffold1681|length_665	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A26R_scaffold306|length_1271	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A25R_scaffold58|length_1799	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A8R_scaffold5|length_2963	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold127|length_1835	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold620|length_609	Virgaviridae	Tobamovirus	Tomato mosaic virus
A41R_scaffold403|length_752	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A56R_scaffold857|length_506	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold2371|length_506	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold1458|length_506	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold867|length_506	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold2712|length_518	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold2711|length_518	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A53R_scaffold1697|length_502	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold116|length_1752	Virgaviridae	Tobamovirus	Tomato mosaic virus
A41R_scaffold172|length_993	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A50R_scaffold675|length_524	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold56|length_2336	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold55|length_2336	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold327|length_1015	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold296|length_557	Virgaviridae	Tobamovirus	Tomato mosaic virus
A58R_scaffold116|length_1229	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A28R_scaffold206|length_1339	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A28R_scaffold448|length_977	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold839|length_715	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold440|length_724	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A14R_scaffold937|length_741	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold134|length_970	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold133|length_970	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold700|length_729	Virgaviridae	Tobamovirus	Tomato mosaic virus
A57R_scaffold517|length_517	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A23R_scaffold2009|length_517	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A59R_scaffold57|length_1005	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A38R_scaffold6|length_5592	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold10|length_3104	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A38R_scaffold68|length_2937	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A38R_scaffold22|length_4023	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A5R_scaffold232|length_1460	Virgaviridae	Tobamovirus	Tomato mosaic virus
A47R_scaffold496|length_996	Virgaviridae	Tobamovirus	Paprika mild mottle virus
A13R_scaffold579|length_972	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A46R_scaffold116|length_1247	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A28R_scaffold109|length_1697	Virgaviridae	Tobamovirus	Tomato mosaic virus
A36R_scaffold1245|length_542	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold144|length_819	Virgaviridae	Tobamovirus	Tomato mosaic virus
A47R_scaffold1|length_6262	Virgaviridae	Tobamovirus	Tomato mosaic virus
A46R_scaffold1|length_4078	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold516|length_741	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold273|length_597	Virgaviridae	Tobamovirus	Tomato mosaic virus
A28R_scaffold72|length_1869	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A46R_scaffold404|length_750	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A40R_scaffold543|length_712	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold230|length_1421	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A16R_scaffold146|length_1684	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold149|length_1726	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold197|length_1531	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A56R_scaffold169|length_1181	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A28R_scaffold478|length_943	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A37R_scaffold1358|length_734	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A12R_scaffold534|length_939	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold3|length_2134	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A52R_scaffold1321|length_505	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A40R_scaffold158|length_1667	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A46R_scaffold380|length_769	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A35R_scaffold7|length_3654	Virgaviridae	Tobamovirus	Tomato mosaic virus
A40R_scaffold22|length_2633	Virgaviridae	Tobamovirus	Tomato mosaic virus
A45R_scaffold177|length_768	Virgaviridae	Tobamovirus	Tomato mosaic virus
A39R_scaffold502|length_503	Virgaviridae	Tobamovirus	Tomato mosaic virus
A38R_scaffold803|length_882	Virgaviridae	Tobamovirus	Tobacco mild green mosaic virus
A46R_scaffold45|length_1589	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
A37R_scaffold144|length_1625	Virgaviridae	Tobamovirus	Tobacco mosaic virus
A23R_scaffold12|length_2351	Virgaviridae	Tobamovirus	Pepper mild mottle virus
A36R_scaffold5|length_3755	Virgaviridae	Tobamovirus	Cucumber green mottle mosaic virus
